key,comp_level,set_number,match_number,team_key,a_Proc,start_Pos_5isBlue,a_reefAlgae,a_L1,t_Defense,t_timeFrozen,t_reefAlgae,t_Net,t_Proc,t_L4,t_L3,t_L2,t_L1,a_L3,end_Pos,a_L4,auto_Notes,tele_Notes,endgame_Notes,match_Scouter,a_L2,stuck_on_alg,a_Leave,a_Net,no_show,r1,b2,b3,ba_redscore,ba_bluescore,r2,r3,b1,ba_winning_alliance,ba_autoCoralPoints,ba_autoLineRobot1,ba_autoLineRobot2,ba_autoLineRobot3,ba_autoMobilityPoints,ba_autoPoints,ba_bargeBonusAchieved,ba_coopertitionCriteriaMet,ba_coralBonusAchieved,ba_endGameBargePoints,ba_endGameRobot1,ba_endGameRobot2,ba_endGameRobot3,ba_foulCount,ba_foulPoints,ba_g206Penalty,ba_g410Penalty,ba_g418Penalty,ba_g428Penalty,ba_netAlgaeCount,ba_rp,ba_techFoulCount,ba_teleopCoralCount,ba_teleopCoralPoints,ba_teleopPoints,ba_totalPoints,ba_wallAlgaeCount,ba_adjustPoints,ba_algaePoints,ba_autoBonusAchieved,ba_autoCoralCount
2025pncmp_qm100,qm,1,100,frc4043,,,,,,,,,,,,,,,,,,,,,,,,,,frc4043,frc9036,frc2910,-1,-1,frc3574,frc4469,frc9023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025pncmp_qm100,qm,1,100,frc3574,,,,,,,,,,,,,,,,,,,,,,,,,,frc4043,frc9036,frc2910,-1,-1,frc3574,frc4469,frc9023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025pncmp_qm100,qm,1,100,frc4469,,1,,,,,,,,,,,,,None,,,,,,,0,,,0,frc4043,frc9036,frc2910,-1,-1,frc3574,frc4469,frc9023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025pncmp_qm100,qm,1,100,frc9023,,,,,,,,,,,,,,,,,,,,,,,,,,frc4043,frc9036,frc2910,-1,-1,frc3574,frc4469,frc9023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025pncmp_qm100,qm,1,100,frc9036,,,,,,,,,,,,,,,,,,,,,,,,,,frc4043,frc9036,frc2910,-1,-1,frc3574,frc4469,frc9023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025pncmp_qm100,qm,1,100,frc2910,,,,,,,,,,,,,,,,,,,,,,,,,,frc4043,frc9036,frc2910,-1,-1,frc3574,frc4469,frc9023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025pncmp_qm11,qm,1,11,frc6831,0,4,0,1,0,0,1,0,0,0,3,0,1,0,Park,0,scored efficiently on two different levels,"decent robot with pretty fast cycles, although their intake mechanism is a little shaky with aligning with their placement system at the coral station making in tricky for the human player for timing coral feeding.",parked,naman,1,0,1,0,0,frc6831,frc7034,frc9036,104,185,frc3218,frc6443,frc4450,blue,21,Yes,Yes,Yes,9,30,1,0,0,26,Parked,DeepCage,DeepCage,0,0,0,0,0,0,0,2,0,15,48,74,104,0,0,0,1,4
2025pncmp_qm11,qm,1,11,frc3218,0,4,1,0,0,0,0,0,0,2,2,2,0,0,Deep Climb,1,missed one,reliable but not fast. ,very very fast,Aarush V,0,1,1,0,0,frc6831,frc7034,frc9036,104,185,frc3218,frc6443,frc4450,blue,21,Yes,Yes,Yes,9,30,1,0,0,26,Parked,DeepCage,DeepCage,0,0,0,0,0,0,0,2,0,15,48,74,104,0,0,0,1,4
2025pncmp_qm11,qm,1,11,frc6443,0,3,0,0,1,0,0,0,0,0,0,0,0,0,Deep Climb,0,Moved forward and missed coral place pretty badly. ,"Tried to collect and place coral, but couldn't even receive coral from station (high unreliability in station collect in general), and didn't place anything. Played defense at the end, wasn't very effective.","Deep climbed at the end, but took around 11 seconds ",Dev Sharma,0,0,1,0,0,frc6831,frc7034,frc9036,104,185,frc3218,frc6443,frc4450,blue,21,Yes,Yes,Yes,9,30,1,0,0,26,Parked,DeepCage,DeepCage,0,0,0,0,0,0,0,2,0,15,48,74,104,0,0,0,1,4
2025pncmp_qm11,qm,1,11,frc4450,0,3,2,1,0,0,2,2,0,0,4,3,0,0,None,0,"missed pre load L4, but made both algae","Very fast at removing the coral and placing in barge, kind of slow at placing coral",slow deep cage climb,cayden,0,0,1,2,0,frc6831,frc7034,frc9036,104,185,frc3218,frc6443,frc4450,blue,27,Yes,Yes,Yes,9,36,1,0,1,24,DeepCage,DeepCage,None,0,0,0,0,0,0,4,6,0,32,109,149,185,0,0,16,1,5
2025pncmp_qm11,qm,1,11,frc7034,0,4,0,0,0,0,1,0,0,6,0,3,1,0,Deep Climb,3,Were able to get 3 coral pretty fast and consistent ,"10 ish second cycle, good coral. Dealt with defense. Were not able to collect alage. No ground collect. ",Were able to deep climb in 12s,Hendrix day,0,0,1,0,0,frc6831,frc7034,frc9036,104,185,frc3218,frc6443,frc4450,blue,27,Yes,Yes,Yes,9,36,1,0,1,24,DeepCage,DeepCage,None,0,0,0,0,0,0,4,6,0,32,109,149,185,0,0,16,1,5
2025pncmp_qm11,qm,1,11,frc9036,0,1,0,1,0,0,0,0,0,1,5,0,1,0,None,0,"Went forward, placed preloaded coral",quite consistent with placing ,made no attempt to climb ,ave,0,0,1,0,0,frc6831,frc7034,frc9036,104,185,frc3218,frc6443,frc4450,blue,27,Yes,Yes,Yes,9,36,1,0,1,24,DeepCage,DeepCage,None,0,0,0,0,0,0,4,6,0,32,109,149,185,0,0,16,1,5
2025pncmp_qm12,qm,1,12,frc10416,0,3,0,0,0,0,3,0,0,1,5,0,0,0,Park,0,attempted l4 but coral landed in middle of the reef.,great contributor to coral scoring and also knocked off coral many times but the entire robot was in danger of tipping over on multiple occasions even with their elevator down.,managed to park.,naman,0,0,1,0,0,frc10416,frc488,frc6343,155,160,frc10079,frc360,frc3826,blue,21,Yes,Yes,Yes,9,30,1,0,0,14,Parked,None,DeepCage,0,0,0,0,0,0,0,2,0,29,105,125,155,1,0,6,1,3
2025pncmp_qm12,qm,1,12,frc10079,0,1,0,0,0,4,1,0,0,2,3,2,2,0,None,1,they missed one out of 2,"not the fastest, but really reliable ",kept scoring,Aarush V,0,1,1,0,0,frc10416,frc488,frc6343,155,160,frc10079,frc360,frc3826,blue,21,Yes,Yes,Yes,9,30,1,0,0,14,Parked,None,DeepCage,0,0,0,0,0,0,0,2,0,29,105,125,155,1,0,6,1,3
2025pncmp_qm12,qm,1,12,frc360,0,2,0,0,0,0,2,0,1,5,5,0,0,0,Deep Climb,2,"Auto was good, scored two coral on l4, collected two from station, but ran out of time to place the third coral on l4.","Cycled coral well, placed 5 each on l4 and l3, and removed two algae and put one into the processor. Placing was pretty good and so was algae removal.","Barely deep climbed, and probably didn't count as the robot still partly touched the ground.",Dev Sharma.,0,0,1,0,0,frc10416,frc488,frc6343,155,160,frc10079,frc360,frc3826,blue,21,Yes,Yes,Yes,9,30,1,0,0,14,Parked,None,DeepCage,0,0,0,0,0,0,0,2,0,29,105,125,155,1,0,6,1,3
2025pncmp_qm12,qm,1,12,frc3826,0,3,0,1,1,0,0,0,0,0,0,0,0,0,Park,0,left and placed L1,"descent at defense, good at pinning against wall","Looks like attached to cage but no climb, park",cayden,0,0,1,0,0,frc10416,frc488,frc6343,155,160,frc10079,frc360,frc3826,blue,31,Yes,Yes,Yes,9,40,0,0,0,4,Parked,None,Parked,0,0,0,0,0,0,1,4,0,32,112,120,160,0,0,4,1,5
2025pncmp_qm12,qm,1,12,frc488,0,5,0,0,0,0,3,0,0,4,5,6,0,0,None,2,they were able to score 2 and collect 2 pretty good. ,9 second cycles 6 for close 12 for far. They took some time to line up. They were pretty good at scoring coral. Were able to remove alage. Did not hae any defense or other robot's getting in the way,just kept on scoring really rushed 3 more in.,Hendrix Day,0,0,1,0,0,frc10416,frc488,frc6343,155,160,frc10079,frc360,frc3826,blue,31,Yes,Yes,Yes,9,40,0,0,0,4,Parked,None,Parked,0,0,0,0,0,0,1,4,0,32,112,120,160,0,0,4,1,5
2025pncmp_qm12,qm,1,12,frc6343,0,1,0,0,0,0,3,0,0,5,5,2,0,0,Park,2,seemed to tryto collect a third but ran out of time,"very accurate, a bit slow but accuracy makes up for it",attempted shallow climb but ran out of time,ave,0,0,1,0,0,frc10416,frc488,frc6343,155,160,frc10079,frc360,frc3826,blue,31,Yes,Yes,Yes,9,40,0,0,0,4,Parked,None,Parked,0,0,0,0,0,0,1,4,0,32,112,120,160,0,0,4,1,5
2025pncmp_qm13,qm,1,13,frc2147,0,3,2,0,0,0,2,2,1,2,3,0,0,0,None,1,scored on l4 and attempted barge but algae flew out of the robot.,"very versatile robot with a plethora of capabilities, those being: efficient barge scoring, can score in processor, and can efficiently score on the reef, however, they got stuck on algae for a bit but were rescued by a teammate.",kept scoring and ignored endgame signal,naman,0,0,1,0,0,frc2147,frc948,frc2976,187,102,frc1318,frc3674,frc492,red,35,Yes,Yes,Yes,9,44,1,0,1,24,None,DeepCage,DeepCage,0,0,0,0,0,0,2,6,0,34,105,143,187,1,0,14,1,5
2025pncmp_qm13,qm,1,13,frc1318,0,1,0,0,0,0,1,0,0,3,2,3,5,0,Deep Climb,2,they missed one,they are very fast and reliable,very fast climb,Aarush V,0,0,1,0,0,frc2147,frc948,frc2976,187,102,frc1318,frc3674,frc492,red,35,Yes,Yes,Yes,9,44,1,0,1,24,None,DeepCage,DeepCage,0,0,0,0,0,0,2,6,0,34,105,143,187,1,0,14,1,5
2025pncmp_qm13,qm,1,13,frc3674,0,4,0,0,0,0,1,0,0,2,5,3,1,0,Deep Climb,2,"Auto was good, swiftly placed coral on l4, then collected another one, placed on l4, and then ran out of time to place the third.","Cycled coral and removed one algae (removal was rolling it off), had a good 7 second cycle time, scoring a total of 11 coral, mostly on l3. Did knock another robot and get stuck on algae for a few seconds though.",Deep climbed in a good 5 seconds.,Dev Sharma,0,3,1,0,0,frc2147,frc948,frc2976,187,102,frc1318,frc3674,frc492,red,35,Yes,Yes,Yes,9,44,1,0,1,24,None,DeepCage,DeepCage,0,0,0,0,0,0,2,6,0,34,105,143,187,1,0,14,1,5
2025pncmp_qm13,qm,1,13,frc492,0,2,0,0,0,0,1,0,0,2,4,2,0,0,Park,1,Missed a 2nd coral,"Missed a couple coral, very slow at removing algae",Trying to climb but not hooked on so park,cayden,0,2,1,0,0,frc2147,frc948,frc2976,187,102,frc1318,frc3674,frc492,red,7,Yes,Yes,Yes,9,16,1,0,1,14,Parked,DeepCage,None,0,0,0,0,0,0,1,3,0,21,68,86,102,0,0,4,1,1
2025pncmp_qm13,qm,1,13,frc948,0,3,0,0,0,0,0,0,0,2,1,4,5,0,Deep Climb,0,Coral dropped out then they slamed into the wall.,They were only a coral bot. They were able to score okay with out defense on them. But could ground collect and score l1. They had a different section score for L1 and a different one for higher levels.,Were barely able to climb. But got it.,Hendrix Day,0,0,1,0,0,frc2147,frc948,frc2976,187,102,frc1318,frc3674,frc492,red,7,Yes,Yes,Yes,9,16,1,0,1,14,Parked,DeepCage,None,0,0,0,0,0,0,1,3,0,21,68,86,102,0,0,4,1,1
2025pncmp_qm13,qm,1,13,frc2976,0,4,0,0,1,0,1,0,0,0,0,0,0,0,None,0,went forward lifted arm,"Was having troubles with collecting algae so went to the other side, got stuck on algae",Made no attempt just stopped,Aw,0,10,1,0,0,frc2147,frc948,frc2976,187,102,frc1318,frc3674,frc492,red,7,Yes,Yes,Yes,9,16,1,0,1,14,Parked,DeepCage,None,0,0,0,0,0,0,1,3,0,21,68,86,102,0,0,4,1,1
2025pncmp_qm14,qm,1,14,frc4125,0,3,0,0,1,0,0,0,0,0,0,0,0,0,Park,0,simply left the start zone,played defense but not the best at it as teams easily weaved around them to feed coral,parked and kinda hovered over the opposing teams processor,naman,0,0,1,0,0,frc4125,frc2046,frc957,187,198,frc4469,frc9442,frc9567,blue,28,Yes,Yes,Yes,9,37,0,0,0,6,Parked,Parked,Parked,0,0,0,0,0,0,9,1,3,31,108,150,187,0,0,36,1,4
2025pncmp_qm14,qm,1,14,frc4469,0,5,1,1,0,0,1,0,0,3,3,4,0,0,None,0,1 out of 2,"they are slow and not as reliable, but they score well",they kept scoring,Aarush V,0,0,0,0,0,frc4125,frc2046,frc957,187,198,frc4469,frc9442,frc9567,blue,28,Yes,Yes,Yes,9,37,0,0,0,6,Parked,Parked,Parked,0,0,0,0,0,0,9,1,3,31,108,150,187,0,0,36,1,4
2025pncmp_qm14,qm,1,14,frc9442,0,4,0,0,0,0,4,3,0,3,7,3,0,0,Park,3,"Auto was pretty good, had ground collect and placed 3 coral on l4 quickly","Had a good 5 second cycle time, with a total of 13 coral, mostly on l3, in addition to reliably scoring algae into the net. Had good ground collect that doubled as its placing mechanism.","Parked just in time, speeded into the barge zone.",Dev Sharma,0,0,1,0,0,frc4125,frc2046,frc957,187,198,frc4469,frc9442,frc9567,blue,28,Yes,Yes,Yes,9,37,0,0,0,6,Parked,Parked,Parked,0,0,0,0,0,0,9,1,3,31,108,150,187,0,0,36,1,4
2025pncmp_qm14,qm,1,14,frc9567,0,3,1,1,0,0,0,0,6,0,0,0,0,0,None,0,they try to collect the algae they de reefed ,"slow but only processed, slow at processing, ",was at processer no park or climb ,cayden,0,0,1,0,0,frc4125,frc2046,frc957,187,198,frc4469,frc9442,frc9567,blue,31,Yes,Yes,Yes,9,40,1,1,1,14,None,Parked,DeepCage,0,18,0,0,0,0,1,6,0,28,86,140,198,6,0,40,1,5
2025pncmp_qm14,qm,1,14,frc2046,0,4,0,0,0,0,1,1,0,2,5,5,1,0,Park,3,,"Missed 8 coral, but had ground collect and very fast cycles. They missed because they do not have auto aim they do it manual. Very good coral bot also very fast.",kept scoring but zoomed in to park,Hendrix Day,0,0,1,0,0,frc4125,frc2046,frc957,187,198,frc4469,frc9442,frc9567,blue,31,Yes,Yes,Yes,9,40,1,1,1,14,None,Parked,DeepCage,0,18,0,0,0,0,1,6,0,28,86,140,198,6,0,40,1,5
2025pncmp_qm14,qm,1,14,frc957,0,2,0,0,0,0,0,0,0,5,2,0,0,0,Deep Climb,2,missed once and ran out of time,very consistent missed once while trying lime up  opposite of barge,Qyuite quick to line up ,Aw,0,1,1,0,0,frc4125,frc2046,frc957,187,198,frc4469,frc9442,frc9567,blue,31,Yes,Yes,Yes,9,40,1,1,1,14,None,Parked,DeepCage,0,18,0,0,0,0,1,6,0,28,86,140,198,6,0,40,1,5
2025pncmp_qm15,qm,1,15,frc2522,0,2,0,0,0,0,1,0,0,2,6,0,0,0,Deep Climb,3,capable of a three coral auto,very efficient robot with many coral scored and also have ground collect capabilities.,capable of deep climb without any shakiness.,naman,0,0,1,0,0,frc2522,frc1540,frc1778,192,218,frc3636,frc2557,frc4061,blue,21,Yes,Yes,Yes,9,30,1,1,1,14,DeepCage,None,Parked,0,0,0,0,0,0,5,3,0,32,110,162,192,3,0,38,1,3
2025pncmp_qm15,qm,1,15,frc3636,0,1,0,0,0,0,0,0,0,7,4,0,0,0,None,0,they moved forward and a stopped,"they are very fast, but missed one or two. fast cycle and placement ",they kept scoring,Aarush V,0,0,1,0,0,frc2522,frc1540,frc1778,192,218,frc3636,frc2557,frc4061,blue,21,Yes,Yes,Yes,9,30,1,1,1,14,DeepCage,None,Parked,0,0,0,0,0,0,5,3,0,32,110,162,192,3,0,38,1,3
2025pncmp_qm15,qm,1,15,frc2557,0,3,2,0,0,0,4,3,2,0,0,0,4,0,Park,0,"Removed two algae, and placed one into the net, pretty good auto.","Only cycled algae, and removed 4 algae, put two into the proccessor, and 3 into the net, pretty good algae bot.","Tried to deep climb, but robot fell down.",Dev Sharma,0,0,1,1,0,frc2522,frc1540,frc1778,192,218,frc3636,frc2557,frc4061,blue,21,Yes,Yes,Yes,9,30,1,1,1,14,DeepCage,None,Parked,0,0,0,0,0,0,5,3,0,32,110,162,192,3,0,38,1,3
2025pncmp_qm15,qm,1,15,frc4061,0,3,0,0,1,0,0,0,0,0,0,0,0,1,Park,0,L3 but did not de reef algae,not really great at defense ,parked ,cayden,0,0,1,0,0,frc2522,frc1540,frc1778,192,218,frc3636,frc2557,frc4061,blue,35,Yes,Yes,Yes,9,44,1,1,1,14,Parked,DeepCage,None,0,0,0,0,0,0,7,6,0,39,120,174,218,2,0,40,1,5
2025pncmp_qm15,qm,1,15,frc1540,0,4,0,0,0,0,3,3,0,2,4,5,0,0,Deep Climb,2,3 coral close to a 4th,very fast cycles. Missed a couple of times. Ground collected fast and scored fast. Were able to shoot coral to score I l2 which speed things up. Glow up,were able to climb kind of fast,Hendrix Day,0,0,1,0,0,frc2522,frc1540,frc1778,192,218,frc3636,frc2557,frc4061,blue,35,Yes,Yes,Yes,9,44,1,1,1,14,Parked,DeepCage,None,0,0,0,0,0,0,7,6,0,39,120,174,218,2,0,40,1,5
2025pncmp_qm15,qm,1,15,frc1778,0,3,0,0,0,0,2,1,1,2,6,2,4,1,None,0,"Was good, left placed preloaded coral",Very consistently placed,seemingly made no attempt to climb ,Aw,0,0,0,0,0,frc2522,frc1540,frc1778,192,218,frc3636,frc2557,frc4061,blue,35,Yes,Yes,Yes,9,44,1,1,1,14,Parked,DeepCage,None,0,0,0,0,0,0,7,6,0,39,120,174,218,2,0,40,1,5
2025pncmp_qm16,qm,1,16,frc4915,0,2,0,0,0,0,0,0,0,2,7,2,2,0,Park,2,almost had a three coral auto but missed by a few hundred milliseconds,versatile coral placement on all levels.,attempted to deep climb but failed.,naman,0,0,1,0,0,frc4915,frc2930,frc997,200,126,frc6696,frc9450,frc3574,red,28,Yes,Yes,Yes,9,37,1,0,1,16,Parked,Parked,DeepCage,0,0,0,0,0,0,4,6,0,41,131,163,200,0,0,16,1,4
2025pncmp_qm16,qm,1,16,frc6696,0,2,1,0,0,0,1,1,0,0,3,5,1,0,Park,1,coral placed then put ,"really slow, lot of uncessary weight, but very reliable",park last second,Aarush,0,0,1,1,0,frc4915,frc2930,frc997,200,126,frc6696,frc9450,frc3574,red,28,Yes,Yes,Yes,9,37,1,0,1,16,Parked,Parked,DeepCage,0,0,0,0,0,0,4,6,0,41,131,163,200,0,0,16,1,4
2025pncmp_qm16,qm,1,16,frc9450,0,4,0,0,0,0,0,3,0,3,0,1,3,0,Deep Climb,1,Wouldve been 3 L4 but two missed. Ground collects from lollipops in auto.,Fairly reliable scoring on L4 and otherv levels. Issue is with ground collector-- it must be lined up jut right or it will wind up losing grip of the gamepiece.,"Didn't seem rushed or stressed when going to climb, managed time well",Sam,0,0,1,0,0,frc4915,frc2930,frc997,200,126,frc6696,frc9450,frc3574,red,28,Yes,Yes,Yes,9,37,1,0,1,16,Parked,Parked,DeepCage,0,0,0,0,0,0,4,6,0,41,131,163,200,0,0,16,1,4
2025pncmp_qm16,qm,1,16,frc3574,0,3,0,0,0,0,1,0,0,0,0,2,4,0,Park,1,just placed L4,"drops coral easy, slow at placement for coral, ",was attached on cage but still touching the ground,cayden,0,0,1,0,0,frc4915,frc2930,frc997,200,126,frc6696,frc9450,frc3574,red,14,Yes,Yes,Yes,9,23,1,0,1,14,Parked,DeepCage,None,0,0,0,0,0,0,0,3,0,28,89,103,126,0,0,0,1,2
2025pncmp_qm16,qm,1,16,frc2930,0,2,0,0,0,0,1,0,0,5,5,2,1,0,Deep Climb,1,,Very fast coral 5-7 seconds has ground collect and fast mechanisms. Really struggled to score l1. Could remove alage.,Were able to deep climb decently fast 10-14 seconds to engage and lift.,Hendrix Day,0,0,1,0,0,frc4915,frc2930,frc997,200,126,frc6696,frc9450,frc3574,red,14,Yes,Yes,Yes,9,23,1,0,1,14,Parked,DeepCage,None,0,0,0,0,0,0,0,3,0,28,89,103,126,0,0,0,1,2
2025pncmp_qm16,qm,1,16,frc997,0,4,0,0,0,0,0,0,0,1,0,4,0,0,None,0,went forward,quite quick but inaccurate with placing ,Waited till last few second to go over ran out of time,aw,0,0,1,0,0,frc4915,frc2930,frc997,200,126,frc6696,frc9450,frc3574,red,14,Yes,Yes,Yes,9,23,1,0,1,14,Parked,DeepCage,None,0,0,0,0,0,0,0,3,0,28,89,103,126,0,0,0,1,2
